"Reference","Value","Do Not Place","Exclude from BOM","Exclude from Board","Exclude from Simulation","LSCS PN"
"C1","22p NP0","","","","",""
"C2","1n NP0 10%","","","","",""
"C3","100n X7R 10%","","","","",""
"C4","22p NP0","","","","",""
"C5","62p NP0 2%","","","","",""
"C6","62p NP0 2%","","","","",""
"C7","56p","","","","",""
"C8","56p","","","","",""
"C9","270p NP0 2%","","","","",""
"C10","270p NP0 2%","","","","",""
"C11","100n","","","","",""
"C12","100n","","","","",""
"C13","100n","","","","",""
"C14","100n","","","","",""
"C15","270p NP0 2%","","","","",""
"C16","270p NP0 2%","","","","",""
"L1","1uH","","","","",""
"L2","1uH","","","","",""
"NT4","Net-Tie_2","","","","",""
"NT8","Net-Tie_2_Top","","","","",""
"NT9","Net-Tie_2_Top","","","","",""
"NT10","Net-Tie_2","","","","",""
"NT11","Net-Tie_2","","","","",""
"R4","820R","","","","",""
"R5","1k","","","","",""
"R21","10k","","","","",""
"R22","10k","","","","",""
"R23","10k","","","","",""
"U1","MFRC522","","","","",""
"Y1","27.12MHz 12pF","","","","",""
