Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,22pF,C1555
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C20, C22, C3, C35, C36, C37, C38, C39, C40, C41, C9",0402,20,100nF,C1525
"C19, C21, C6",0402,3,10uF,C15525
C2,0603,1,10uF,C19702
"C23, C24",0402,2,22p NP0,C106203
"C25, C26",0805,2,62p NP0 2%,C520069
"C27, C28",0603,2,56p,C107053
"C29, C30, C31, C32",0603,4,270p NP0 2%,C327196
C33,0603,1,100n X7R 10%,C14663
C34,0603,1,1n NP0 10%,C106246
"C4, C5",0402,2,33pF,C1562
"C7, C8",0402,2,1uF,C52923
D1,SOT-143,1,PRTR5V0U2X,C316030
G1,piicodev_logo_14.2x3.4mm,1,LOGO_PiicoDev,
G7,Art_2,1,Label_PCB_Art,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369 
L1,IND-SMD_L4.5-W4.0,1,1uH,C2929415
"L2, L3",0603,2,1uH,C108959
L4,0805,1,3.3uH,C53063751
Q1,SOT-23,1,SS8550,C8542
"Q3, Q4",SOT-23,2,AO3401A,C15127
"R1, R2",0201,2,5K1,C23186
R10,0603,1,4.7k,C23162
"R11, R14, R15",0402,3,100,C25076
R12,0201,1,100k,C25803 
"R13, R3, R4",0201,3,27R,C25190
R16,0805,1,20k,C4328
R17,0805,1,8.2k,C17828
"R18, R19, R20, R21, R22, R23, R26, R27, R5",0805,9,10k,C17414
"R24, R6, R7",0402,3,1k,C11702
R25,0603,1,820R,C23253
R8,0603,1,100k,C25803
R9,0603,1,22.1k,C31850
"SW1, SW2, SW3",SW_Push_1P1T_XKB_TS-1187A,3,SW_Push,C318884
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,VQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias,1,MFRC522,C54582189
U4,SOT95P285X130-5N,1,SY8089A1AAC,C479074
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,HX711,C6705483
U8,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
Y1,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,1,X322512MSB4SI,C9002
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND23,C113669 
