Designator,Mid X,Mid Y,Rotation,Layer
C1,164.3,-68.175,90.0,top
C10,170.98,-65.25,180.0,top
C11,175.9,-65.98,270.0,top
C12,168.755,-58.4,180.0,top
C13,180.5,-57.9,0.0,top
C14,180.92,-54.4,0.0,top
C15,168.98,-61.7,180.0,top
C16,177.0,-65.96,270.0,top
C17,180.62,-62.1,0.0,top
C18,195.75,-41.48,270.0,top
C19,169.87,-70.525,270.0,top
C2,161.4,-68.275,270.0,top
C20,180.7,-46.39,270.0,top
C21,168.06,-40.78,270.0,top
C22,186.97,-41.91,0.0,top
C23,166.574,-60.6,0.0,top
C24,167.77,-55.75,0.0,top
C25,157.05,-50.32,270.0,top
C26,157.05,-55.58,270.0,top
C27,156.82,-46.72,0.0,top
C28,156.95,-59.2,0.0,top
C29,156.08,-48.77,0.0,top
C3,190.52665,-60.69665,90.0,top
C30,156.42,-57.15,180.0,top
C31,155.57,-49.85,0.0,top
C32,155.62,-56.1,180.0,top
C33,161.375,-58.9,180.0,top
C34,160.231,-45.25,180.0,top
C35,159.48,-52.2,180.0,top
C36,160.0,-55.1,90.0,top
C37,160.0,-50.52,270.0,top
C38,164.52,-49.2,180.0,top
C39,167.06,-40.78,90.0,top
C4,177.27,-51.425,90.0,top
C40,176.8,-70.72,90.0,top
C41,195.22,-51.16,0.0,top
C42,176.27,-35.75,0.0,top
C43,158.0,-50.54,270.0,top
C44,157.95,-55.395,270.0,top
C45,156.95,-58.2,0.0,top
C46,156.84,-47.72,0.0,top
C47,155.57,-50.85,0.0,top
C48,155.57,-51.85,0.0,top
C49,155.62,-54.1,180.0,top
C5,174.87,-49.025,0.0,top
C50,155.62,-55.1,180.0,top
C6,167.662,-69.767,0.0,top
C7,169.2,-63.7,90.0,top
C8,170.98,-64.35,0.0,top
C9,170.98,-66.2,180.0,top
D1,173.6,-68.75,0.0,top
J1,173.07,-76.965,0.0,top
JP2,170.6,-45.6,0.0,top
JP3,170.6,-48.3,0.0,top
JP4,190.9,-51.3,0.0,top
JP5,192.5,-27.75,180.0,top
L1,163.7,-64.0,0.0,top
L2,158.8,-57.9,270.0,top
L3,158.65,-48.0,90.0,top
Q1,179.45,-43.0975,90.0,top
Q3,157.5,-62.15,90.0,top
Q4,163.925,-38.8125,270.0,top
R1,175.8,-70.48,90.0,top
R10,165.75,-35.375,0.0,top
R11,161.915,-37.125,0.0,top
R12,198.0,-42.675,270.0,top
R13,157.95,-65.0,90.0,top
R14,178.71,-45.91,0.0,top
R15,178.71,-46.87,180.0,top
R16,176.45,-41.9975,90.0,top
R17,174.2,-41.9975,270.0,top
R18,194.6375,-53.2,0.0,top
R19,194.84,-45.81,270.0,top
R2,171.47,-70.825,90.0,top
R20,159.35,-65.95,270.0,top
R21,163.8,-47.7,180.0,top
R22,168.595724,-53.3,270.0,top
R23,163.8125,-45.4,0.0,top
R24,160.456,-46.75,180.0,top
R25,161.375,-57.4,180.0,top
R26,158.5,-69.75,180.0,top
R27,162.2625,-35.375,180.0,top
R28,159.75,-61.01,90.0,top
R29,176.095,-34.5,0.0,top
R3,172.7,-65.475,270.0,top
R4,174.5,-65.475,270.0,top
R5,188.04665,-60.49665,180.0,top
R6,185.8,-60.49,270.0,top
R7,172.6,-51.625,90.0,top
R8,163.0,-68.275,90.0,top
R9,165.6,-68.275,270.0,top
SW1,200.5,-72.5,90.0,bottom
SW2,200.5,-56.5,90.0,bottom
SW3,200.5,-33.25,90.0,bottom
U1,174.67,-59.225,270.0,top
U3,164.0,-53.0,270.0,top
U4,168.246,-66.833,90.0,top
U7,188.335,-46.185,180.0,top
U8,186.63,-64.1,180.0,top
Y1,174.87,-51.625,270.0,top
Y2,165.394,-58.3,0.0,top
